series_id,state_id,state,year,period,value
LASST010000000000003,ST0100000000000,Alabama,2018,M01,3.9
LASST010000000000003,ST0100000000000,Alabama,2018,M02,3.9
LASST010000000000003,ST0100000000000,Alabama,2018,M03,4.0
LASST010000000000003,ST0100000000000,Alabama,2018,M04,4.0
LASST010000000000003,ST0100000000000,Alabama,2018,M05,4.0
LASST010000000000003,ST0100000000000,Alabama,2018,M06,4.0
LASST010000000000003,ST0100000000000,Alabama,2018,M07,4.0
LASST010000000000003,ST0100000000000,Alabama,2018,M08,3.9
LASST010000000000003,ST0100000000000,Alabama,2018,M09,3.8
LASST010000000000003,ST0100000000000,Alabama,2018,M10,3.7
LASST010000000000003,ST0100000000000,Alabama,2018,M11,3.7
LASST010000000000003,ST0100000000000,Alabama,2018,M12,3.6
LASST010000000000003,ST0100000000000,Alabama,2019,M01,3.6
LASST010000000000003,ST0100000000000,Alabama,2019,M02,3.5
LASST010000000000003,ST0100000000000,Alabama,2019,M03,3.3
LASST010000000000003,ST0100000000000,Alabama,2019,M04,3.2
LASST010000000000003,ST0100000000000,Alabama,2019,M05,3.0
LASST010000000000003,ST0100000000000,Alabama,2019,M06,2.9
LASST010000000000003,ST0100000000000,Alabama,2019,M07,2.8
LASST010000000000003,ST0100000000000,Alabama,2019,M08,2.8
LASST010000000000003,ST0100000000000,Alabama,2019,M09,2.7
LASST010000000000003,ST0100000000000,Alabama,2019,M10,2.7
LASST010000000000003,ST0100000000000,Alabama,2019,M11,2.7
LASST010000000000003,ST0100000000000,Alabama,2019,M12,2.7
LASST010000000000003,ST0100000000000,Alabama,2020,M01,2.7
LASST010000000000003,ST0100000000000,Alabama,2020,M02,2.7
LASST010000000000003,ST0100000000000,Alabama,2020,M03,3.5
LASST020000000000003,ST0200000000000,Alaska,2018,M01,6.7
LASST020000000000003,ST0200000000000,Alaska,2018,M02,6.7
LASST020000000000003,ST0200000000000,Alaska,2018,M03,6.6
LASST020000000000003,ST0200000000000,Alaska,2018,M04,6.6
LASST020000000000003,ST0200000000000,Alaska,2018,M05,6.5
LASST020000000000003,ST0200000000000,Alaska,2018,M06,6.5
LASST020000000000003,ST0200000000000,Alaska,2018,M07,6.4
LASST020000000000003,ST0200000000000,Alaska,2018,M08,6.4
LASST020000000000003,ST0200000000000,Alaska,2018,M09,6.3
LASST020000000000003,ST0200000000000,Alaska,2018,M10,6.3
LASST020000000000003,ST0200000000000,Alaska,2018,M11,6.2
LASST020000000000003,ST0200000000000,Alaska,2018,M12,6.2
LASST020000000000003,ST0200000000000,Alaska,2019,M01,6.1
LASST020000000000003,ST0200000000000,Alaska,2019,M02,6.1
LASST020000000000003,ST0200000000000,Alaska,2019,M03,6.1
LASST020000000000003,ST0200000000000,Alaska,2019,M04,6.1
LASST020000000000003,ST0200000000000,Alaska,2019,M05,6.2
LASST020000000000003,ST0200000000000,Alaska,2019,M06,6.2
LASST020000000000003,ST0200000000000,Alaska,2019,M07,6.2
LASST020000000000003,ST0200000000000,Alaska,2019,M08,6.2
LASST020000000000003,ST0200000000000,Alaska,2019,M09,6.2
LASST020000000000003,ST0200000000000,Alaska,2019,M10,6.1
LASST020000000000003,ST0200000000000,Alaska,2019,M11,6.1
LASST020000000000003,ST0200000000000,Alaska,2019,M12,6.1
LASST020000000000003,ST0200000000000,Alaska,2020,M01,6.0
LASST020000000000003,ST0200000000000,Alaska,2020,M02,5.8
LASST020000000000003,ST0200000000000,Alaska,2020,M03,5.6
LASST040000000000003,ST0400000000000,Arizona,2018,M01,4.8
LASST040000000000003,ST0400000000000,Arizona,2018,M02,4.8
LASST040000000000003,ST0400000000000,Arizona,2018,M03,4.7
LASST040000000000003,ST0400000000000,Arizona,2018,M04,4.7
LASST040000000000003,ST0400000000000,Arizona,2018,M05,4.7
LASST040000000000003,ST0400000000000,Arizona,2018,M06,4.7
LASST040000000000003,ST0400000000000,Arizona,2018,M07,4.7
LASST040000000000003,ST0400000000000,Arizona,2018,M08,4.7
LASST040000000000003,ST0400000000000,Arizona,2018,M09,4.7
LASST040000000000003,ST0400000000000,Arizona,2018,M10,4.8
LASST040000000000003,ST0400000000000,Arizona,2018,M11,4.8
LASST040000000000003,ST0400000000000,Arizona,2018,M12,4.8
LASST040000000000003,ST0400000000000,Arizona,2019,M01,4.9
LASST040000000000003,ST0400000000000,Arizona,2019,M02,4.9
LASST040000000000003,ST0400000000000,Arizona,2019,M03,4.8
LASST040000000000003,ST0400000000000,Arizona,2019,M04,4.8
LASST040000000000003,ST0400000000000,Arizona,2019,M05,4.8
LASST040000000000003,ST0400000000000,Arizona,2019,M06,4.8
LASST040000000000003,ST0400000000000,Arizona,2019,M07,4.7
LASST040000000000003,ST0400000000000,Arizona,2019,M08,4.6
LASST040000000000003,ST0400000000000,Arizona,2019,M09,4.6
LASST040000000000003,ST0400000000000,Arizona,2019,M10,4.5
LASST040000000000003,ST0400000000000,Arizona,2019,M11,4.5
LASST040000000000003,ST0400000000000,Arizona,2019,M12,4.5
LASST040000000000003,ST0400000000000,Arizona,2020,M01,4.5
LASST040000000000003,ST0400000000000,Arizona,2020,M02,4.5
LASST040000000000003,ST0400000000000,Arizona,2020,M03,5.5
LASST050000000000003,ST0500000000000,Arkansas,2018,M01,3.7
LASST050000000000003,ST0500000000000,Arkansas,2018,M02,3.7
LASST050000000000003,ST0500000000000,Arkansas,2018,M03,3.7
LASST050000000000003,ST0500000000000,Arkansas,2018,M04,3.7
LASST050000000000003,ST0500000000000,Arkansas,2018,M05,3.7
LASST050000000000003,ST0500000000000,Arkansas,2018,M06,3.6
LASST050000000000003,ST0500000000000,Arkansas,2018,M07,3.6
LASST050000000000003,ST0500000000000,Arkansas,2018,M08,3.6
LASST050000000000003,ST0500000000000,Arkansas,2018,M09,3.6
LASST050000000000003,ST0500000000000,Arkansas,2018,M10,3.6
LASST050000000000003,ST0500000000000,Arkansas,2018,M11,3.6
LASST050000000000003,ST0500000000000,Arkansas,2018,M12,3.6
LASST050000000000003,ST0500000000000,Arkansas,2019,M01,3.6
LASST050000000000003,ST0500000000000,Arkansas,2019,M02,3.6
LASST050000000000003,ST0500000000000,Arkansas,2019,M03,3.5
LASST050000000000003,ST0500000000000,Arkansas,2019,M04,3.5
LASST050000000000003,ST0500000000000,Arkansas,2019,M05,3.5
LASST050000000000003,ST0500000000000,Arkansas,2019,M06,3.6
LASST050000000000003,ST0500000000000,Arkansas,2019,M07,3.6
LASST050000000000003,ST0500000000000,Arkansas,2019,M08,3.6
LASST050000000000003,ST0500000000000,Arkansas,2019,M09,3.6
LASST050000000000003,ST0500000000000,Arkansas,2019,M10,3.5
LASST050000000000003,ST0500000000000,Arkansas,2019,M11,3.5
LASST050000000000003,ST0500000000000,Arkansas,2019,M12,3.5
LASST050000000000003,ST0500000000000,Arkansas,2020,M01,3.5
LASST050000000000003,ST0500000000000,Arkansas,2020,M02,3.5
LASST050000000000003,ST0500000000000,Arkansas,2020,M03,4.8
LASST060000000000003,ST0600000000000,California,2018,M01,4.4
LASST060000000000003,ST0600000000000,California,2018,M02,4.3
LASST060000000000003,ST0600000000000,California,2018,M03,4.3
LASST060000000000003,ST0600000000000,California,2018,M04,4.3
LASST060000000000003,ST0600000000000,California,2018,M05,4.3
LASST060000000000003,ST0600000000000,California,2018,M06,4.2
LASST060000000000003,ST0600000000000,California,2018,M07,4.2
LASST060000000000003,ST0600000000000,California,2018,M08,4.2
LASST060000000000003,ST0600000000000,California,2018,M09,4.2
LASST060000000000003,ST0600000000000,California,2018,M10,4.2
LASST060000000000003,ST0600000000000,California,2018,M11,4.2
LASST060000000000003,ST0600000000000,California,2018,M12,4.3
LASST060000000000003,ST0600000000000,California,2019,M01,4.3
LASST060000000000003,ST0600000000000,California,2019,M02,4.3
LASST060000000000003,ST0600000000000,California,2019,M03,4.2
LASST060000000000003,ST0600000000000,California,2019,M04,4.2
LASST060000000000003,ST0600000000000,California,2019,M05,4.1
LASST060000000000003,ST0600000000000,California,2019,M06,4.0
LASST060000000000003,ST0600000000000,California,2019,M07,4.0
LASST060000000000003,ST0600000000000,California,2019,M08,3.9
LASST060000000000003,ST0600000000000,California,2019,M09,3.9
LASST060000000000003,ST0600000000000,California,2019,M10,3.9
LASST060000000000003,ST0600000000000,California,2019,M11,3.9
LASST060000000000003,ST0600000000000,California,2019,M12,3.9
LASST060000000000003,ST0600000000000,California,2020,M01,3.9
LASST060000000000003,ST0600000000000,California,2020,M02,3.9
LASST060000000000003,ST0600000000000,California,2020,M03,5.3
LASST080000000000003,ST0800000000000,Colorado,2018,M01,3.0
LASST080000000000003,ST0800000000000,Colorado,2018,M02,3.0
LASST080000000000003,ST0800000000000,Colorado,2018,M03,3.0
LASST080000000000003,ST0800000000000,Colorado,2018,M04,3.1
LASST080000000000003,ST0800000000000,Colorado,2018,M05,3.1
LASST080000000000003,ST0800000000000,Colorado,2018,M06,3.2
LASST080000000000003,ST0800000000000,Colorado,2018,M07,3.2
LASST080000000000003,ST0800000000000,Colorado,2018,M08,3.2
LASST080000000000003,ST0800000000000,Colorado,2018,M09,3.3
LASST080000000000003,ST0800000000000,Colorado,2018,M10,3.3
LASST080000000000003,ST0800000000000,Colorado,2018,M11,3.3
LASST080000000000003,ST0800000000000,Colorado,2018,M12,3.2
LASST080000000000003,ST0800000000000,Colorado,2019,M01,3.2
LASST080000000000003,ST0800000000000,Colorado,2019,M02,3.1
LASST080000000000003,ST0800000000000,Colorado,2019,M03,3.0
LASST080000000000003,ST0800000000000,Colorado,2019,M04,2.9
LASST080000000000003,ST0800000000000,Colorado,2019,M05,2.8
LASST080000000000003,ST0800000000000,Colorado,2019,M06,2.7
LASST080000000000003,ST0800000000000,Colorado,2019,M07,2.7
LASST080000000000003,ST0800000000000,Colorado,2019,M08,2.6
LASST080000000000003,ST0800000000000,Colorado,2019,M09,2.6
LASST080000000000003,ST0800000000000,Colorado,2019,M10,2.5
LASST080000000000003,ST0800000000000,Colorado,2019,M11,2.5
LASST080000000000003,ST0800000000000,Colorado,2019,M12,2.5
LASST080000000000003,ST0800000000000,Colorado,2020,M01,2.5
LASST080000000000003,ST0800000000000,Colorado,2020,M02,2.5
LASST080000000000003,ST0800000000000,Colorado,2020,M03,4.5
LASST090000000000003,ST0900000000000,Connecticut,2018,M01,4.5
LASST090000000000003,ST0900000000000,Connecticut,2018,M02,4.5
LASST090000000000003,ST0900000000000,Connecticut,2018,M03,4.4
LASST090000000000003,ST0900000000000,Connecticut,2018,M04,4.3
LASST090000000000003,ST0900000000000,Connecticut,2018,M05,4.2
LASST090000000000003,ST0900000000000,Connecticut,2018,M06,4.2
LASST090000000000003,ST0900000000000,Connecticut,2018,M07,4.1
LASST090000000000003,ST0900000000000,Connecticut,2018,M08,4.0
LASST090000000000003,ST0900000000000,Connecticut,2018,M09,4.0
LASST090000000000003,ST0900000000000,Connecticut,2018,M10,3.9
LASST090000000000003,ST0900000000000,Connecticut,2018,M11,3.9
LASST090000000000003,ST0900000000000,Connecticut,2018,M12,3.9
LASST090000000000003,ST0900000000000,Connecticut,2019,M01,3.8
LASST090000000000003,ST0900000000000,Connecticut,2019,M02,3.8
LASST090000000000003,ST0900000000000,Connecticut,2019,M03,3.7
LASST090000000000003,ST0900000000000,Connecticut,2019,M04,3.7
LASST090000000000003,ST0900000000000,Connecticut,2019,M05,3.7
LASST090000000000003,ST0900000000000,Connecticut,2019,M06,3.7
LASST090000000000003,ST0900000000000,Connecticut,2019,M07,3.7
LASST090000000000003,ST0900000000000,Connecticut,2019,M08,3.7
LASST090000000000003,ST0900000000000,Connecticut,2019,M09,3.7
LASST090000000000003,ST0900000000000,Connecticut,2019,M10,3.8
LASST090000000000003,ST0900000000000,Connecticut,2019,M11,3.8
LASST090000000000003,ST0900000000000,Connecticut,2019,M12,3.8
LASST090000000000003,ST0900000000000,Connecticut,2020,M01,3.7
LASST090000000000003,ST0900000000000,Connecticut,2020,M02,3.8
LASST090000000000003,ST0900000000000,Connecticut,2020,M03,3.7
LASST100000000000003,ST1000000000000,Delaware,2018,M01,4.1
LASST100000000000003,ST1000000000000,Delaware,2018,M02,4.1
LASST100000000000003,ST1000000000000,Delaware,2018,M03,4.0
LASST100000000000003,ST1000000000000,Delaware,2018,M04,3.9
LASST100000000000003,ST1000000000000,Delaware,2018,M05,3.9
LASST100000000000003,ST1000000000000,Delaware,2018,M06,3.8
LASST100000000000003,ST1000000000000,Delaware,2018,M07,3.7
LASST100000000000003,ST1000000000000,Delaware,2018,M08,3.7
LASST100000000000003,ST1000000000000,Delaware,2018,M09,3.6
LASST100000000000003,ST1000000000000,Delaware,2018,M10,3.6
LASST100000000000003,ST1000000000000,Delaware,2018,M11,3.5
LASST100000000000003,ST1000000000000,Delaware,2018,M12,3.5
LASST100000000000003,ST1000000000000,Delaware,2019,M01,3.5
LASST100000000000003,ST1000000000000,Delaware,2019,M02,3.5
LASST100000000000003,ST1000000000000,Delaware,2019,M03,3.6
LASST100000000000003,ST1000000000000,Delaware,2019,M04,3.6
LASST100000000000003,ST1000000000000,Delaware,2019,M05,3.7
LASST100000000000003,ST1000000000000,Delaware,2019,M06,3.7
LASST100000000000003,ST1000000000000,Delaware,2019,M07,3.8
LASST100000000000003,ST1000000000000,Delaware,2019,M08,3.9
LASST100000000000003,ST1000000000000,Delaware,2019,M09,3.9
LASST100000000000003,ST1000000000000,Delaware,2019,M10,4.0
LASST100000000000003,ST1000000000000,Delaware,2019,M11,4.0
LASST100000000000003,ST1000000000000,Delaware,2019,M12,4.0
LASST100000000000003,ST1000000000000,Delaware,2020,M01,4.0
LASST100000000000003,ST1000000000000,Delaware,2020,M02,3.9
LASST100000000000003,ST1000000000000,Delaware,2020,M03,5.1
LASST110000000000003,ST1100000000000,District of Columbia,2018,M01,5.8
LASST110000000000003,ST1100000000000,District of Columbia,2018,M02,5.8
LASST110000000000003,ST1100000000000,District of Columbia,2018,M03,5.8
LASST110000000000003,ST1100000000000,District of Columbia,2018,M04,5.8
LASST110000000000003,ST1100000000000,District of Columbia,2018,M05,5.7
LASST110000000000003,ST1100000000000,District of Columbia,2018,M06,5.7
LASST110000000000003,ST1100000000000,District of Columbia,2018,M07,5.7
LASST110000000000003,ST1100000000000,District of Columbia,2018,M08,5.6
LASST110000000000003,ST1100000000000,District of Columbia,2018,M09,5.6
LASST110000000000003,ST1100000000000,District of Columbia,2018,M10,5.6
LASST110000000000003,ST1100000000000,District of Columbia,2018,M11,5.7
LASST110000000000003,ST1100000000000,District of Columbia,2018,M12,5.7
LASST110000000000003,ST1100000000000,District of Columbia,2019,M01,5.8
LASST110000000000003,ST1100000000000,District of Columbia,2019,M02,5.8
LASST110000000000003,ST1100000000000,District of Columbia,2019,M03,5.7
LASST110000000000003,ST1100000000000,District of Columbia,2019,M04,5.6
LASST110000000000003,ST1100000000000,District of Columbia,2019,M05,5.5
LASST110000000000003,ST1100000000000,District of Columbia,2019,M06,5.4
LASST110000000000003,ST1100000000000,District of Columbia,2019,M07,5.4
LASST110000000000003,ST1100000000000,District of Columbia,2019,M08,5.3
LASST110000000000003,ST1100000000000,District of Columbia,2019,M09,5.3
LASST110000000000003,ST1100000000000,District of Columbia,2019,M10,5.3
LASST110000000000003,ST1100000000000,District of Columbia,2019,M11,5.3
LASST110000000000003,ST1100000000000,District of Columbia,2019,M12,5.3
LASST110000000000003,ST1100000000000,District of Columbia,2020,M01,5.2
LASST110000000000003,ST1100000000000,District of Columbia,2020,M02,5.1
LASST110000000000003,ST1100000000000,District of Columbia,2020,M03,6.0
LASST120000000000003,ST1200000000000,Florida,2018,M01,3.9
LASST120000000000003,ST1200000000000,Florida,2018,M02,3.9
LASST120000000000003,ST1200000000000,Florida,2018,M03,3.8
LASST120000000000003,ST1200000000000,Florida,2018,M04,3.7
LASST120000000000003,ST1200000000000,Florida,2018,M05,3.7
LASST120000000000003,ST1200000000000,Florida,2018,M06,3.6
LASST120000000000003,ST1200000000000,Florida,2018,M07,3.5
LASST120000000000003,ST1200000000000,Florida,2018,M08,3.4
LASST120000000000003,ST1200000000000,Florida,2018,M09,3.4
LASST120000000000003,ST1200000000000,Florida,2018,M10,3.4
LASST120000000000003,ST1200000000000,Florida,2018,M11,3.4
LASST120000000000003,ST1200000000000,Florida,2018,M12,3.4
LASST120000000000003,ST1200000000000,Florida,2019,M01,3.4
LASST120000000000003,ST1200000000000,Florida,2019,M02,3.4
LASST120000000000003,ST1200000000000,Florida,2019,M03,3.4
LASST120000000000003,ST1200000000000,Florida,2019,M04,3.3
LASST120000000000003,ST1200000000000,Florida,2019,M05,3.2
LASST120000000000003,ST1200000000000,Florida,2019,M06,3.2
LASST120000000000003,ST1200000000000,Florida,2019,M07,3.1
LASST120000000000003,ST1200000000000,Florida,2019,M08,3.0
LASST120000000000003,ST1200000000000,Florida,2019,M09,2.9
LASST120000000000003,ST1200000000000,Florida,2019,M10,2.9
LASST120000000000003,ST1200000000000,Florida,2019,M11,2.8
LASST120000000000003,ST1200000000000,Florida,2019,M12,2.9
LASST120000000000003,ST1200000000000,Florida,2020,M01,2.8
LASST120000000000003,ST1200000000000,Florida,2020,M02,2.8
LASST120000000000003,ST1200000000000,Florida,2020,M03,4.3
LASST130000000000003,ST1300000000000,Georgia,2018,M01,4.2
LASST130000000000003,ST1300000000000,Georgia,2018,M02,4.2
LASST130000000000003,ST1300000000000,Georgia,2018,M03,4.1
LASST130000000000003,ST1300000000000,Georgia,2018,M04,4.1
LASST130000000000003,ST1300000000000,Georgia,2018,M05,4.0
LASST130000000000003,ST1300000000000,Georgia,2018,M06,3.9
LASST130000000000003,ST1300000000000,Georgia,2018,M07,3.9
LASST130000000000003,ST1300000000000,Georgia,2018,M08,3.8
LASST130000000000003,ST1300000000000,Georgia,2018,M09,3.8
LASST130000000000003,ST1300000000000,Georgia,2018,M10,3.8
LASST130000000000003,ST1300000000000,Georgia,2018,M11,3.8
LASST130000000000003,ST1300000000000,Georgia,2018,M12,3.8
LASST130000000000003,ST1300000000000,Georgia,2019,M01,3.8
LASST130000000000003,ST1300000000000,Georgia,2019,M02,3.7
LASST130000000000003,ST1300000000000,Georgia,2019,M03,3.7
LASST130000000000003,ST1300000000000,Georgia,2019,M04,3.6
LASST130000000000003,ST1300000000000,Georgia,2019,M05,3.6
LASST130000000000003,ST1300000000000,Georgia,2019,M06,3.5
LASST130000000000003,ST1300000000000,Georgia,2019,M07,3.4
LASST130000000000003,ST1300000000000,Georgia,2019,M08,3.3
LASST130000000000003,ST1300000000000,Georgia,2019,M09,3.2
LASST130000000000003,ST1300000000000,Georgia,2019,M10,3.2
LASST130000000000003,ST1300000000000,Georgia,2019,M11,3.1
LASST130000000000003,ST1300000000000,Georgia,2019,M12,3.1
LASST130000000000003,ST1300000000000,Georgia,2020,M01,3.1
LASST130000000000003,ST1300000000000,Georgia,2020,M02,3.1
LASST130000000000003,ST1300000000000,Georgia,2020,M03,4.2
LASST150000000000003,ST1500000000000,Hawaii,2018,M01,2.3
LASST150000000000003,ST1500000000000,Hawaii,2018,M02,2.3
LASST150000000000003,ST1500000000000,Hawaii,2018,M03,2.3
LASST150000000000003,ST1500000000000,Hawaii,2018,M04,2.3
LASST150000000000003,ST1500000000000,Hawaii,2018,M05,2.4
LASST150000000000003,ST1500000000000,Hawaii,2018,M06,2.5
LASST150000000000003,ST1500000000000,Hawaii,2018,M07,2.5
LASST150000000000003,ST1500000000000,Hawaii,2018,M08,2.6
LASST150000000000003,ST1500000000000,Hawaii,2018,M09,2.7
LASST150000000000003,ST1500000000000,Hawaii,2018,M10,2.7
LASST150000000000003,ST1500000000000,Hawaii,2018,M11,2.8
LASST150000000000003,ST1500000000000,Hawaii,2018,M12,2.8
LASST150000000000003,ST1500000000000,Hawaii,2019,M01,2.8
LASST150000000000003,ST1500000000000,Hawaii,2019,M02,2.8
LASST150000000000003,ST1500000000000,Hawaii,2019,M03,2.8
LASST150000000000003,ST1500000000000,Hawaii,2019,M04,2.7
LASST150000000000003,ST1500000000000,Hawaii,2019,M05,2.7
LASST150000000000003,ST1500000000000,Hawaii,2019,M06,2.7
LASST150000000000003,ST1500000000000,Hawaii,2019,M07,2.7
LASST150000000000003,ST1500000000000,Hawaii,2019,M08,2.7
LASST150000000000003,ST1500000000000,Hawaii,2019,M09,2.7
LASST150000000000003,ST1500000000000,Hawaii,2019,M10,2.7
LASST150000000000003,ST1500000000000,Hawaii,2019,M11,2.6
LASST150000000000003,ST1500000000000,Hawaii,2019,M12,2.7
LASST150000000000003,ST1500000000000,Hawaii,2020,M01,2.7
LASST150000000000003,ST1500000000000,Hawaii,2020,M02,2.7
LASST150000000000003,ST1500000000000,Hawaii,2020,M03,2.6
LASST160000000000003,ST1600000000000,Idaho,2018,M01,3.0
LASST160000000000003,ST1600000000000,Idaho,2018,M02,3.0
LASST160000000000003,ST1600000000000,Idaho,2018,M03,3.0
LASST160000000000003,ST1600000000000,Idaho,2018,M04,2.9
LASST160000000000003,ST1600000000000,Idaho,2018,M05,2.9
LASST160000000000003,ST1600000000000,Idaho,2018,M06,2.9
LASST160000000000003,ST1600000000000,Idaho,2018,M07,2.9
LASST160000000000003,ST1600000000000,Idaho,2018,M08,2.8
LASST160000000000003,ST1600000000000,Idaho,2018,M09,2.8
LASST160000000000003,ST1600000000000,Idaho,2018,M10,2.9
LASST160000000000003,ST1600000000000,Idaho,2018,M11,2.9
LASST160000000000003,ST1600000000000,Idaho,2018,M12,2.9
LASST160000000000003,ST1600000000000,Idaho,2019,M01,2.9
LASST160000000000003,ST1600000000000,Idaho,2019,M02,2.9
LASST160000000000003,ST1600000000000,Idaho,2019,M03,2.9
LASST160000000000003,ST1600000000000,Idaho,2019,M04,2.9
LASST160000000000003,ST1600000000000,Idaho,2019,M05,2.9
LASST160000000000003,ST1600000000000,Idaho,2019,M06,2.9
LASST160000000000003,ST1600000000000,Idaho,2019,M07,2.9
